Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.34105925379107227
100% Corpus,2,0.01,0.31,0.3600161536940953
100% Corpus,2,0.01,0.61,0.37143816865168067
100% Corpus,2,0.01,0.9099999999999999,0.4232461050487751
100% Corpus,2,0.01,symmetric,0.3532047263068656
100% Corpus,2,0.31,0.01,0.31836606905331677
100% Corpus,2,0.31,0.31,0.3109202328724328
100% Corpus,2,0.31,0.61,0.3494479441778026
100% Corpus,2,0.31,0.9099999999999999,0.3935686889826801
100% Corpus,2,0.31,symmetric,0.32693625879665716
100% Corpus,2,0.61,0.01,0.27135271203335987
100% Corpus,2,0.61,0.31,0.3087289670557769
100% Corpus,2,0.61,0.61,0.31439982433796365
100% Corpus,2,0.61,0.9099999999999999,0.3116143034055693
100% Corpus,2,0.61,symmetric,0.30343036240344534
100% Corpus,2,0.9099999999999999,0.01,0.31280551762760783
100% Corpus,2,0.9099999999999999,0.31,0.30185180853778154
100% Corpus,2,0.9099999999999999,0.61,0.31975311113913285
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.32062730621756497
100% Corpus,2,0.9099999999999999,symmetric,0.3044017452814186
100% Corpus,2,symmetric,0.01,0.3593211617819835
100% Corpus,2,symmetric,0.31,0.3642391197694341
100% Corpus,2,symmetric,0.61,0.3975759343079836
100% Corpus,2,symmetric,0.9099999999999999,0.4228027012699168
100% Corpus,2,symmetric,symmetric,0.3562038577084305
100% Corpus,2,asymmetric,0.01,0.35281060529873753
100% Corpus,2,asymmetric,0.31,0.4509392104835802
100% Corpus,2,asymmetric,0.61,0.5759599167312965
100% Corpus,2,asymmetric,0.9099999999999999,0.5494149031430131
100% Corpus,2,asymmetric,symmetric,0.40766688019137903
100% Corpus,3,0.01,0.01,0.34239288066702406
100% Corpus,3,0.01,0.31,0.3432509907377418
100% Corpus,3,0.01,0.61,0.3958339420364637
100% Corpus,3,0.01,0.9099999999999999,0.43417594033785595
100% Corpus,3,0.01,symmetric,0.3608228728997342
100% Corpus,3,0.31,0.01,0.3176635047273192
100% Corpus,3,0.31,0.31,0.31396779139587244
100% Corpus,3,0.31,0.61,0.32369759035334644
100% Corpus,3,0.31,0.9099999999999999,0.4024875114105117
100% Corpus,3,0.31,symmetric,0.32921889386853365
100% Corpus,3,0.61,0.01,0.30625790413984594
100% Corpus,3,0.61,0.31,0.30293692741765293
100% Corpus,3,0.61,0.61,0.3170192012750575
100% Corpus,3,0.61,0.9099999999999999,0.33610044880592865
100% Corpus,3,0.61,symmetric,0.30612197119039974
100% Corpus,3,0.9099999999999999,0.01,0.2962936100293398
100% Corpus,3,0.9099999999999999,0.31,0.3039159211802373
100% Corpus,3,0.9099999999999999,0.61,0.3133179596253128
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3106232871967397
100% Corpus,3,0.9099999999999999,symmetric,0.30020605396775946
100% Corpus,3,symmetric,0.01,0.3597156961841123
100% Corpus,3,symmetric,0.31,0.35169083429466474
100% Corpus,3,symmetric,0.61,0.42446197482351505
100% Corpus,3,symmetric,0.9099999999999999,0.42805383069549424
100% Corpus,3,symmetric,symmetric,0.33789988113281033
100% Corpus,3,asymmetric,0.01,0.34205169387134077
100% Corpus,3,asymmetric,0.31,0.4496410050028733
100% Corpus,3,asymmetric,0.61,0.5350585600197976
100% Corpus,3,asymmetric,0.9099999999999999,0.5411305410408691
100% Corpus,3,asymmetric,symmetric,0.40041123246500837
100% Corpus,4,0.01,0.01,0.35193457137621553
100% Corpus,4,0.01,0.31,0.35436354734698705
100% Corpus,4,0.01,0.61,0.3780159708350114
100% Corpus,4,0.01,0.9099999999999999,0.4150200811978747
100% Corpus,4,0.01,symmetric,0.35593154510915254
100% Corpus,4,0.31,0.01,0.31670670054127725
100% Corpus,4,0.31,0.31,0.32210612852264586
100% Corpus,4,0.31,0.61,0.34937318594593925
100% Corpus,4,0.31,0.9099999999999999,0.4068184817246984
100% Corpus,4,0.31,symmetric,0.342842240408057
100% Corpus,4,0.61,0.01,0.3010393466341037
100% Corpus,4,0.61,0.31,0.31251214191525184
100% Corpus,4,0.61,0.61,0.30882639524735217
100% Corpus,4,0.61,0.9099999999999999,0.33914440608023766
100% Corpus,4,0.61,symmetric,0.3054054078461359
100% Corpus,4,0.9099999999999999,0.01,0.31158725049360625
100% Corpus,4,0.9099999999999999,0.31,0.30015551398176016
100% Corpus,4,0.9099999999999999,0.61,0.3217531098558215
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3251939839367259
100% Corpus,4,0.9099999999999999,symmetric,0.3152926855913645
100% Corpus,4,symmetric,0.01,0.3554445436297501
100% Corpus,4,symmetric,0.31,0.34996879118083946
100% Corpus,4,symmetric,0.61,0.4104215667821819
100% Corpus,4,symmetric,0.9099999999999999,0.4436562716763168
100% Corpus,4,symmetric,symmetric,0.35880515121542217
100% Corpus,4,asymmetric,0.01,0.3408316753135579
100% Corpus,4,asymmetric,0.31,0.43795894265785185
100% Corpus,4,asymmetric,0.61,0.544038427568837
